농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0020292,938,2,1,5,20201020,,,117,20210214,12,0,3,9,0,0,0,,,18,20210304,10
PF_0020292,1383,0,1,304,20201014,,,116,20210207,14,0,0,14,0,0,0,,,25,20210304,12
PF_0020292,783,3,1,11,20201026,,,117,20210220,15,0,0,15,0,0,0,,,26,20210318,11
PF_0020292,1401,0,1,240,20201029,,,120,20210226,15,0,0,15,0,0,0,,,20,20210318,10
PF_0020292,873,2,1,6,20200819,,,142,20210108,5,0,0,5,0,0,0,,,20,20210128,9
PF_0020292,1064,1,1,4,20200914,,,116,20210108,16,0,5,11,0,0,0,,,20,20210128,10
PF_0020292,982,2,2,27,20210202,,,116,20210529,12,0,0,12,0,0,0,,,,,
PF_0021712,265,3,1,5,20201009,,,116,20210202,13,0,0,13,0,0,1,,,24,20210226,11
PF_0020292,1058,1,1,5,20200908,,,117,20210103,11,0,0,11,0,0,0,,,25,20210128,11
PF_0020292,897,2,1,5,20200915,,,117,20210110,8,0,0,8,0,0,0,,,25,20210204,10
PF_0021712,288,4,1,5,20200918,,,116,20210112,14,0,1,13,0,0,2,,,24,20210205,8
PF_0020292,714,4,1,4,20210208,,,117,20210605,13,0,0,13,0,0,0,,,,,
PF_0020292,1047,1,1,5,20200915,,,117,20210110,8,0,0,8,0,0,0,,,25,20210204,11
PF_0020292,1341,0,1,250,20200916,,,118,20210112,12,0,1,11,0,0,0,,,23,20210204,10
PF_0020292,1338,0,1,250,20200915,,,116,20210109,13,0,0,13,0,0,0,,,26,20210204,11
PF_0021712,292,7,1,5,20201230,,,116,20210425,13,0,1,12,0,0,2,,,26,20210521,10
PF_0021712,274,2,1,45,20201118,,,117,20210315,16,0,2,14,0,0,3,,,25,20210409,8
PF_0021712,283,3,1,5,20201028,,,116,20210221,14,2,0,12,0,0,1,,,26,20210319,9
PF_0021712,302,7,2,5,20201230,,,104,20210413,10,0,1,9,0,1,0,,,6,20210419,10
PF_0021712,368,0,1,268,20201212,,,115,20210406,13,0,0,13,0,2,0,,,24,20210430,13
PF_0021712,397,6,1,5,20201118,,,115,20210313,11,2,0,9,0,1,0,,,27,20210409,9
PF_0021712,399,6,1,6,20201029,,,113,20210219,17,1,4,12,0,1,0,,,28,20210319,11
PF_0021712,270,1,2,30,20200920,,,115,20210113,8,0,1,7,0,3,0,,,23,20210205,10
PF_0020292,1317,1,1,5,20210119,,,116,20210515,17,0,5,12,0,0,0,,,,,
PF_0020292,993,2,1,5,20210119,,,114,20210513,17,0,2,15,0,0,0,,,14,20210527,11
PF_0020292,1506,0,1,262,20210120,,,118,20210518,16,0,3,13,0,0,0,,,,,
PF_0020292,1487,0,1,245,20210103,,,114,20210427,14,0,3,11,0,0,0,,,,,
PF_0020292,564,5,1,4,20210104,,,116,20210430,15,0,1,14,0,0,0,,,27,20210527,12
PF_0020292,1295,1,1,5,20210105,,,115,20210430,16,0,3,13,0,0,0,,,27,20210527,11
PF_0021712,370,0,1,293,20201029,,,114,20210220,12,0,1,11,0,0,0,,,27,20210319,11
PF_0020292,1180,2,1,4,20210125,,,117,20210522,15,0,0,15,0,0,0,,,,,
PF_0020292,356,6,1,5,20200915,,,116,20210109,14,0,1,13,0,0,0,,,19,20210128,10
PF_0021712,328,6,1,4,20201210,,,117,20210406,15,1,1,13,0,0,1,,,24,20210430,10
PF_0020292,1494,0,1,251,20210109,,,113,20210502,13,0,4,9,0,0,0,,,,,
PF_0020292,1053,2,1,4,20210201,,,117,20210529,14,0,0,14,0,0,0,,,,,
PF_0020292,1059,1,1,4,20200907,,,118,20210103,9,0,0,9,0,0,0,,,25,20210128,10
PF_0020292,1301,1,1,5,20210112,,,117,20210509,19,0,0,19,0,0,0,,,18,20210527,12
PF_0020292,1045,2,1,5,20210112,,,117,20210509,24,0,6,18,0,0,0,,,18,20210527,12
PF_0020292,1325,1,1,6,20210127,,,117,20210524,8,0,0,8,0,0,0,,,,,
PF_0020292,1291,0,2,34,20210103,,,113,20210426,13,0,0,13,0,0,0,,,,,
PF_0020292,569,5,1,4,20210125,,,117,20210522,13,0,1,12,0,0,0,,,,,
PF_0020292,1504,0,1,258,20210116,,,115,20210511,17,0,2,15,0,0,0,,,16,20210527,12
PF_0020292,1278,1,1,4,20210118,,,117,20210515,15,0,0,15,0,0,0,,,,,
PF_0020292,1522,0,1,270,20210128,,,121,20210529,16,0,0,16,0,0,0,,,,,
PF_0020292,1297,1,1,10,20210131,,,116,20210527,8,0,0,8,0,0,0,,,,,
PF_0020292,311,8,1,4,20210201,,,117,20210529,11,0,2,9,0,0,0,,,,,
PF_0020292,333,8,1,7,20210201,,,117,20210529,14,0,2,12,0,0,0,,,,,
PF_0020292,206,9,1,4,20210111,,,117,20210508,14,0,0,14,0,0,0,,,19,20210527,10
PF_0021712,380,0,1,252,20200917,,,116,20210111,16,0,2,14,0,0,5,,,25,20210205,9
PF_0021290,401,7,1,3,20200910,,,118,20210106,12,0,0,12,,,,,,,,
PF_0021281,222,3,1,5,20200908,,,115,20210101,16,0,0,16,,,,,,,,
PF_0021290,594,5,1,4,20200914,,,115,20210107,10,0,0,10,,,,,,,,
PF_0020253,84,3,1,3,20200921,,,117,20210116,21,0,9,12,,,,5,,26,20210211,7
PF_0020253,53,2,1,4,20201020,,,115,20210212,15,0,2,13,,,,2,,,,
PF_0020253,81,2,1,4,20201006,,,114,20210128,19,0,5,14,,,,,,,,
PF_0020253,107,0,1,243,20200907,,,117,20210102,18,0,3,15,,,,3,,27,20210129,12
PF_0020253,75,7,1,5,20200923,,,114,20210115,11,0,0,11,,,,1,,21,20210205,10
PF_0020253,90,4,1,5,20200923,,,112,20210113,15,0,1,14,,,,4,,23,20210205,10
PF_0020236,341,3,1,5,20200915,,,121,20210114,17,0,2,15,,,,2,,16,20210130,11
PF_0021290,783,6,1,5,20200915,,,117,20210110,14,0,0,14,,,,,,,,
PF_0021290,217,1,1,0,20200914,,,117,20210109,14,0,0,14,,,,,,,,
PF_0020236,267,3,1,6,20200923,,,116,20210117,18,0,2,16,,,,1,,20,20210206,13
PF_0020236,455,3,1,5,20201006,,,118,20210201,22,0,2,20,,,,,,,,
PF_0020236,199,4,1,5,20200929,,,116,20210123,20,0,11,9,,,,,,21,20210213,13
PF_0020236,22,3,1,5,20201006,,,116,20210130,15,0,3,12,,,,,,,,
PF_0020236,200,4,2,0,20200921,,,116,20210115,21,0,3,18,,,,2,,15,20210130,11
PF_0020236,123,1,1,6,20201021,,,115,20210213,16,0,3,13,,,,,,,,
PF_0020236,305,4,1,5,20200929,,,120,20210127,19,0,14,5,,,,1,,17,20210213,13
PF_0020236,313,3,1,5,20200922,,,119,20210119,9,0,0,9,,,,,,18,20210206,13
PF_0020236,424,4,1,5,20201006,,,116,20210130,21,0,5,16,,,,,,,,
PF_0020266,211,2,1,5,20200922,,,118,20210118,20,0,1,19,,,,,,,,
PF_0021281,220,0,1,270,20200911,,,116,20210105,10,0,0,10,,,,,,,,
PF_0020266,72,6,1,5,20200922,,,114,20210114,23,0,9,14,,,,,,,,
PF_0021280,78,4,1,19,20200915,,,114,20210107,12,1,0,11,,,,,,21,20210128,12
PF_0021280,167,4,1,5,20200922,,,114,20210114,14,3,0,11,,,,,,28,20210211,12
PF_0021293,239,2,4,0,20201006,,,118,20210201,6,1,0,5,,,,1,,,,
PF_0021293,32,0,1,270,20200914,,,110,20210102,14,6,0,8,,,,6,,28,20210130,9
PF_0021293,92,5,3,0,20201017,,,118,20210212,7,1,0,6,,,,1,,,,
PF_0021293,99,3,2,0,20201006,,,116,20210130,12,0,0,12,,,,,,,,
PF_0021398,132,5,1,4,20201221,,,114,20210414,16,0,2,14,,,,,,22,20210506,12
PF_0021398,142,5,1,5,20201208,,,115,20210402,16,0,0,16,,,,,,21,20210423,10
PF_0021398,144,4,2,48,20201006,,,114,20210128,19,0,3,16,,,,,,21,20210218,11
PF_0021398,158,4,2,27,20201025,,,112,20210214,18,0,5,13,,,,,,25,20210311,11
PF_0021290,500,2,1,4,20200914,,,118,20210110,19,0,1,18,,,,,,,,
PF_0021398,218,0,2,19,20201101,,,114,20210223,8,0,2,6,,,,,,23,20210318,11
PF_0021398,220,0,1,240,20200921,,,116,20210115,8,0,0,8,,,,,,20,20210204,10
PF_0021398,252,5,1,4,20201102,,,114,20210224,18,0,3,15,,,,,,29,20210325,9
PF_0021293,127,5,1,5,20201006,,,117,20210131,13,0,0,13,,,,,,,,
PF_0021292,104,3,1,7,20200918,,,113,20210109,13,6,0,7,,,,,,,,
PF_0020292,1121,1,1,8,20201102,,,116,20210226,16,0,0,16,0,0,0,,,20,20210318,10
PF_0020292,1427,0,1,230,20201119,,,117,20210316,11,0,0,11,0,0,0,,,23,20210408,10
PF_0020292,1284,0,2,94,20201120,,,114,20210314,13,0,1,12,0,0,0,,,25,20210408,11
PF_0020292,664,4,1,4,20201019,,,117,20210213,8,0,0,8,0,0,0,,,19,20210304,11
PF_0021292,34,8,1,5,20200918,,,115,20210111,8,5,0,3,,,,,,,,
PF_0020291,999,0,1,221,20210209,,,117,20210606,13,0,0,13,0,0,0,,,,,
PF_0020292,1407,0,1,215,20201104,,,117,20210301,12,0,1,11,0,0,0,,,24,20210325,11
PF_0020292,1268,1,1,4,20201026,,,117,20210220,14,0,0,14,0,0,0,,,26,20210318,12
PF_0020292,1269,1,1,5,20201027,,,116,20210220,17,0,0,17,0,0,0,,,26,20210318,13
PF_0020292,955,2,1,5,20201027,,,116,20210220,15,0,0,15,0,0,0,,,26,20210318,10
PF_0020292,1403,0,1,245,20201029,,,118,20210224,11,0,0,11,0,0,0,,,22,20210318,10
PF_0020292,1098,1,1,33,20201110,,,116,20210306,17,0,0,17,0,0,0,,,26,20210401,12
PF_0020292,1416,0,1,222,20201111,,,117,20210308,14,0,0,14,0,0,0,,,24,20210401,12
PF_0020292,1466,0,1,231,20201220,,,119,20210418,10,0,5,5,0,0,0,,,25,20210513,10
PF_0020292,1468,0,1,231,20201220,,,116,20210415,13,0,1,12,0,0,0,,,21,20210506,11
PF_0020292,789,3,1,18,20201221,,,117,20210417,14,0,0,14,0,0,0,,,26,20210513,11
PF_0020292,1470,0,1,232,20201221,,,117,20210417,17,0,2,15,0,0,0,,,26,20210513,11
PF_0020291,977,0,1,268,20210111,,,118,20210509,12,0,0,12,0,0,0,,,25,20210603,12
PF_0020292,318,7,2,26,20201221,,,117,20210417,12,0,0,12,0,0,0,,,26,20210513,12
PF_0020292,862,2,2,6,20201221,,,117,20210417,14,0,0,14,0,0,0,,,26,20210513,10
PF_0020292,1275,1,1,52,20201227,,,111,20210417,13,0,3,10,0,0,0,,,26,20210513,12
PF_0020292,560,5,1,4,20201214,,,116,20210409,10,0,1,9,0,0,0,,,27,20210506,12
PF_0020292,990,2,1,4,20201123,,,117,20210320,17,0,2,15,0,0,0,,,26,20210415,11
