id,_id,sensor_ver,msg_ver,sensorID,macAddr,battery,temp,hPa,acc_x,acc_y,acc_z,vector,rssi,time,packetnum,krTime
131,2022-08-01 1:45,V,3,001D,60:A4:23:7F:3D:52,1.3,24.9,1014,5,4,6,11,90,2022-08-01 1:45,84,2022-08-01 10:45
132,2022-08-01 1:46,N,4,10,60:A4:23:C9:A0:4C,3,30.4,1006,26,35,23,57,94,2022-08-01 1:46,91,2022-08-01 10:46
133,2022-08-01 1:47,N,4,19,60:A4:23:D4:5D:84,3,34.2,1029,18,26,18,42,73,2022-08-01 1:47,89,2022-08-01 10:47
134,2022-08-01 1:48,N,4,13,60:A4:23:C9:A0:3E,3,32.8,1023,20,26,19,44,77,2022-08-01 1:48,90,2022-08-01 10:48
135,2022-08-01 1:50,N,4,14,60:A4:23:C9:A0:2F,3.1,33.2,1016,11,12,13,25,78,2022-08-01 1:50,90,2022-08-01 10:50
136,2022-08-01 1:51,N,4,11,60:A4:23:C9:A0:9B,3,33.3,1010,30,27,17,52,70,2022-08-01 1:51,91,2022-08-01 10:51
137,2022-08-01 1:52,N,4,15,60:A4:23:C9:A0:3B,3,31.7,1026,18,25,16,40,70,2022-08-01 1:52,90,2022-08-01 10:52
138,2022-08-01 1:52,V,3,001A,60:A4:23:7C:A5:F3,1.1,27.7,1014,4,4,6,10,93,2022-08-01 1:52,84,2022-08-01 10:52
139,2022-08-01 1:52,N,4,12,60:A4:23:C9:A0:4D,3,28.4,1022,78,90,83,169,64,2022-08-01 1:52,91,2022-08-01 10:52
140,2022-08-01 1:52,N,4,16,60:A4:23:D4:5D:A3,3.1,31.7,1006,24,31,24,54,76,2022-08-01 1:52,90,2022-08-01 10:53
141,2022-08-01 1:54,N,4,17,60:A4:23:D4:5D:C7,3.1,30.6,1009,47,42,36,84,88,2022-08-01 1:54,90,2022-08-01 10:54
142,2022-08-01 1:55,V,3,001C,60:A4:23:7F:49:30,1.3,29.4,1014,4,4,5,10,88,2022-08-01 1:55,55,2022-08-01 10:55
143,2022-08-01 1:55,N,4,18,60:A4:23:C9:A0:E3,3.1,34.2,1006,31,50,34,79,84,2022-08-01 1:55,90,2022-08-01 10:55
144,2022-08-01 1:55,V,3,001D,60:A4:23:7F:3D:52,1.3,25,1014,5,4,5,10,97,2022-08-01 1:55,85,2022-08-01 10:55
145,2022-08-01 1:56,N,4,10,60:A4:23:C9:A0:4C,3,30.8,1006,23,31,18,49,86,2022-08-01 1:56,92,2022-08-01 10:56
146,2022-08-01 1:57,N,4,19,60:A4:23:D4:5D:84,3,34.9,1029,15,21,15,34,82,2022-08-01 1:57,90,2022-08-01 10:57
147,2022-08-01 1:58,N,4,13,60:A4:23:C9:A0:3E,3,32.3,1023,21,26,18,44,82,2022-08-01 1:58,91,2022-08-01 10:58
148,2022-08-01 2:00,N,4,14,60:A4:23:C9:A0:2F,3.1,33,1016,19,22,15,38,71,2022-08-01 2:00,91,2022-08-01 11:00
149,2022-08-01 2:01,N,4,11,60:A4:23:C9:A0:9B,3,33.6,1010,27,21,15,43,76,2022-08-01 2:01,92,2022-08-01 11:01
150,2022-08-01 2:02,N,4,15,60:A4:23:C9:A0:3B,3,31.5,1026,25,35,22,56,70,2022-08-01 2:02,91,2022-08-01 11:02
151,2022-08-01 2:02,V,3,001A,60:A4:23:7C:A5:F3,1.1,27.8,1014,4,4,6,10,95,2022-08-01 2:02,85,2022-08-01 11:02
152,2022-08-01 2:02,N,4,12,60:A4:23:C9:A0:4D,3,29.1,1022,8,12,10,21,74,2022-08-01 2:02,92,2022-08-01 11:02
153,2022-08-01 2:02,N,4,16,60:A4:23:D4:5D:A3,3.1,31.6,1006,25,31,25,54,72,2022-08-01 2:02,91,2022-08-01 11:03
154,2022-08-01 2:04,N,4,17,60:A4:23:D4:5D:C7,3.1,31.5,1009,13,16,11,27,74,2022-08-01 2:04,91,2022-08-01 11:04
155,2022-08-01 2:05,V,3,001C,60:A4:23:7F:49:30,1.3,29.5,1014,4,4,5,10,87,2022-08-01 2:05,56,2022-08-01 11:05
156,2022-08-01 2:05,N,4,18,60:A4:23:C9:A0:E3,3.1,33.3,1006,14,28,15,40,69,2022-08-01 2:05,91,2022-08-01 11:05
157,2022-08-01 2:05,V,3,001D,60:A4:23:7F:3D:52,1.3,25.1,1014,4,4,5,10,93,2022-08-01 2:05,86,2022-08-01 11:05
158,2022-08-01 2:06,N,4,10,60:A4:23:C9:A0:4C,3,31,1006,24,28,18,47,75,2022-08-01 2:06,93,2022-08-01 11:06
